Id,TM Cell ID,Site on Master Site List,Date of Master Site Listing
a0p4J000000DnJ9QAK,12620,Yes,2026-05-15
a0p4J000000DnJAQA0,12622,Yes,2026-05-15
a0p4J000000DnJEQA0,12640,Yes,2026-05-15
a0p4J000000DnJFQA0,12641,Yes,2026-05-15
a0p4J000000DnJIQA0,12647,Yes,2026-05-15
a0p4J000000DnJKQA0,12653,Yes,2026-05-15
a0p4J000000DnJMQA0,12658,Yes,2026-05-15
a0p4J000000DnJOQA0,12661,Yes,2026-05-15
a0p4J000000DnJQQA0,12672,Yes,2026-05-15
a0p4J000000DnJRQA0,12673,Yes,2026-05-15
a0p4J000000DnJSQA0,12674,Yes,2026-05-15
