Project Reference,Project ID,Project ID Id,Id Project ID,HE/MEAS Delay Status,Firm Order Placed,Ran Priority,NIA Order Delivery (A),Transmission Delivered (A),Transmission Delivered (F),COC Uploaded,PRTC (A),PRTC (F),HE/MEAS Status,WES PSID
PX71-SG-CKIIGKM,P-193002,a1e4J000000CKGIQA4,a0i4J0000023ScFQAU,NONE,9/3/2019,Huawei,,10/24/2019,,10/24/2019,11/3/2020,,7.0 COMPLETED (10GB),BTWD207766
PX71-SG-CKIGONH,P-193003,a1e4J000000CKGJQA4,a0i4J0000023ScGQAU,NONE,3/25/2020,Huawei,,3/16/2021,,3/16/2021,8/16/2019,,7.0 COMPLETED (10GB),BTWD209117
PX71-SG-CKIGNPH,P-193004,a1e4J000000CKGKQA4,a0i4J0000023ScHQAU,,5/7/2020,Nokia Compact,,9/17/2020,,9/17/2020,2/7/2020,,7.0 COMPLETED (10GB),BTWD209874
PX71-SG-CKIFMGH,P-192975,a1e4J000000CKGLQA4,a0i4J0000023SbeQAE,NONE,8/31/2021,Nokia,,3/1/2022,,3/2/2022,9/13/2019,,7.0 COMPLETED (10GB),BTWD212536
PX71-SG-CKIJGLP,P-192976,a1e4J000000CKGMQA4,a0i4J0000023SbfQAE,NONE,10/14/2019,Huawei,,1/8/2020,,4/28/2022,9/13/2019,,7.0 COMPLETED (10GB),BTWD208416
PX71-SG-CKIIINH,P-192977,a1e4J000000CKGNQA4,a0i4J0000023SbgQAE,,8/15/2019,Huawei,,1/29/2020,,6/7/2022,9/27/2019,,7.0 COMPLETED (10GB),BTWD207650
PX71-SG-CKILJHH,P-192978,a1e4J000000CKGOQA4,a0i4J0000023SbhQAE,,10/8/2019,Huawei,,1/13/2020,,8/19/2021,9/13/2019,,7.0 COMPLETED (10GB),BTWD208271
PX71-SG-CKJJLPI,P-192979,a1e4J000000CKGPQA4,a0i4J0000023SbiQAE,,12/15/2023,Nokia Compact,2/21/2020,3/13/2024,,,2/28/2020,,7.0 COMPLETED (10GB),BTWD216350
PX71-SG-CKIHLNQ,P-192980,a1e4J000000CKGQQA4,a0i4J0000023SbjQAE,,11/28/2019,Huawei,,1/20/2020,,1/22/2021,9/13/2019,,7.0 COMPLETED (10GB),BTWD208665
PX71-SG-CKIHLOH,P-192981,a1e4J000000CKGRQA4,a0i4J0000023SbkQAE,NONE,10/14/2019,Huawei,,7/1/2020,,7/1/2020,9/13/2019,,7.0 COMPLETED (10GB),BTWD208412
PX71-SG-CKIHOJO,P-192982,a1e4J000000CKGSQA4,a0i4J0000023SblQAE,NONE,9/19/2019,Nokia Compact,,3/16/2020,,3/16/2020,2/28/2020,,7.0 COMPLETED (10GB),BTWD208084
PX71-SG-CKIHLMN,P-192983,a1e4J000000CKGTQA4,a0i4J0000023SbmQAE,NONE,10/8/2019,Huawei,,2/28/2020,,2/24/2022,9/13/2019,,7.0 COMPLETED (10GB),BTWD208267
PX71-SG-CKIIFHL,P-192984,a1e4J000000CKGUQA4,a0i4J0000023SbnQAE,NONE,10/3/2019,Huawei,,11/29/2019,,11/29/2019,9/27/2019,,7.0 COMPLETED (10GB),BTWD208223
PX71-SG-CKIGJOH,P-193005,a1e4J000000CKGVQA4,a0i4J0000023ScIQAU,NONE,4/24/2020,Nokia Compact,,7/6/2020,,1/15/2021,9/20/2019,,7.0 COMPLETED (10GB),BTWD209475
PX71-SG-CKIGLJL,P-193006,a1e4J000000CKGWQA4,a0i4J0000023ScJQAU,NONE,6/18/2020,Huawei,,12/11/2020,,6/1/2021,10/10/2019,,7.0 COMPLETED (10GB),BTWD210208
PX71-SG-CKIHIHQ,P-193007,a1e4J000000CKGXQA4,a0i4J0000023ScKQAU,NONE,6/4/2020,Nokia Compact,,12/7/2020,,11/8/2021,12/2/2020,,7.0 COMPLETED (10GB),BTWD210081
